Database,Scale,Indexed,Operation_Type,Scenario_Name,Average_Time_Seconds
PostgreSQL,10000,True,CREATE,insert_patient,0.002288433333433204
PostgreSQL,10000,True,CREATE,insert_visit,0.002315799999905721
PostgreSQL,10000,True,CREATE,insert_diagnosis,0.0020881999998891843
PostgreSQL,10000,True,CREATE,insert_prescription_with_items,0.004228633333241305
PostgreSQL,10000,True,CREATE,insert_performed_service,0.0019748999999743924
PostgreSQL,10000,True,CREATE,insert_test_result,0.0020645333332443747
PostgreSQL,10000,True,READ,select_patient_by_id,0.0004509333333165462
PostgreSQL,10000,True,READ,select_visits_with_doctor,0.0005472000001039609
PostgreSQL,10000,True,READ,select_visit_diagnoses,0.00048383333341917023
PostgreSQL,10000,True,READ,select_patient_full_history,0.0006389000000126543
PostgreSQL,10000,True,READ,select_aggregated_costs,0.0005324000000352195
PostgreSQL,10000,True,READ,select_prescriptions_with_meds,0.0008133666665344208
PostgreSQL,10000,True,UPDATE,update_patient_name,0.0010730333333413
PostgreSQL,10000,True,UPDATE,update_visit_status,0.0010319333334033824
PostgreSQL,10000,True,UPDATE,update_service_price,0.000954366666671073
PostgreSQL,10000,True,UPDATE,update_diagnosis_notes,0.0008083666666607314
PostgreSQL,10000,True,UPDATE,update_doctor_license,0.0009716999999606438
PostgreSQL,10000,True,UPDATE,update_department_phone,0.0009700666666200656
PostgreSQL,10000,True,DELETE,delete_test_result,0.002131399999749798
PostgreSQL,10000,True,DELETE,delete_diagnosis,0.0019367333332714527
PostgreSQL,10000,True,DELETE,delete_patient,0.0021680999999868313
PostgreSQL,10000,True,DELETE,delete_performed_service,0.002004066666813742
PostgreSQL,10000,True,DELETE,delete_prescription,0.0020331333331948067
PostgreSQL,10000,True,DELETE,delete_visit_cascade,0.004798199999944093
MySQL,10000,True,CREATE,insert_patient,0.00794786666665459
MySQL,10000,True,CREATE,insert_visit,0.007516500000140998
MySQL,10000,True,CREATE,insert_diagnosis,0.008019933333495525
MySQL,10000,True,CREATE,insert_prescription_with_items,0.016051866666657588
MySQL,10000,True,CREATE,insert_performed_service,0.00984940000004523
MySQL,10000,True,CREATE,insert_test_result,0.011354900000090614
MySQL,10000,True,READ,select_patient_by_id,0.000977699999869704
MySQL,10000,True,READ,select_visits_with_doctor,0.0009541666666639989
MySQL,10000,True,READ,select_visit_diagnoses,0.0009780333333158826
MySQL,10000,True,READ,select_patient_full_history,0.00406896666678828
MySQL,10000,True,READ,select_aggregated_costs,0.005830833333372236
MySQL,10000,True,READ,select_prescriptions_with_meds,0.0008538333333187135
MySQL,10000,True,UPDATE,update_patient_name,0.003518133333272999
MySQL,10000,True,UPDATE,update_visit_status,0.004138466666669653
MySQL,10000,True,UPDATE,update_service_price,0.003644433333344447
MySQL,10000,True,UPDATE,update_diagnosis_notes,0.0025034666664396354
MySQL,10000,True,UPDATE,update_doctor_license,0.0037945333333482267
MySQL,10000,True,UPDATE,update_department_phone,0.002585299999888472
MySQL,10000,True,DELETE,delete_test_result,0.006935633333341684
MySQL,10000,True,DELETE,delete_diagnosis,0.008758166666818093
MySQL,10000,True,DELETE,delete_patient,0.007081966666646622
MySQL,10000,True,DELETE,delete_performed_service,0.007963966666920896
MySQL,10000,True,DELETE,delete_prescription,0.007512366666711993
MySQL,10000,True,DELETE,delete_visit_cascade,0.01780436666679937
MongoDB,10000,True,CREATE,insert_patient,0.002523433333256738
MongoDB,10000,True,CREATE,insert_visit,0.0008134666666895404
MongoDB,10000,True,CREATE,insert_diagnosis,0.0026942666665187667
MongoDB,10000,True,CREATE,insert_prescription_with_items,0.0008530666665744017
MongoDB,10000,True,CREATE,insert_performed_service,0.0007134333333548663
MongoDB,10000,True,CREATE,insert_test_result,0.0007127999998980764
MongoDB,10000,True,READ,select_patient_by_id,0.000811500000054366
MongoDB,10000,True,READ,select_visits_with_doctor,0.0013606999999259035
MongoDB,10000,True,READ,select_visit_diagnoses,0.0007933000000169462
MongoDB,10000,True,READ,select_patient_full_history,0.0007340666666095785
MongoDB,10000,True,READ,select_aggregated_costs,0.0007789666666819054
MongoDB,10000,True,READ,select_prescriptions_with_meds,0.0007496333334226316
MongoDB,10000,True,UPDATE,update_patient_name,0.0007441333333796744
MongoDB,10000,True,UPDATE,update_visit_status,0.0006913333334826651
MongoDB,10000,True,UPDATE,update_service_price,0.0007553666666050655
MongoDB,10000,True,UPDATE,update_diagnosis_notes,0.0007420333333053956
MongoDB,10000,True,UPDATE,update_doctor_license,0.000739033333199283
MongoDB,10000,True,UPDATE,update_department_phone,0.0008822333332621687
MongoDB,10000,True,DELETE,delete_test_result,0.0014908333332641632
MongoDB,10000,True,DELETE,delete_diagnosis,0.0014486000000033528
MongoDB,10000,True,DELETE,delete_patient,0.0014090333334024763
MongoDB,10000,True,DELETE,delete_performed_service,0.001523400000072191
MongoDB,10000,True,DELETE,delete_prescription,0.0014070666666157194
MongoDB,10000,True,DELETE,delete_visit_cascade,0.0015086000000034498
