Database,Scale,Indexed,Operation_Type,Scenario_Name,Average_Time_Seconds,Median_Time_Seconds,StdDev_Time_Seconds
PostgreSQL,10000,False,CREATE,insert_patient,0.004230033334655066,0.004220500006340444,0.000247653533563204
PostgreSQL,10000,False,CREATE,insert_visit,0.005134099997424831,0.004976099997293204,0.0004093379168266665
PostgreSQL,10000,False,CREATE,insert_diagnosis,0.0027502333299101642,0.002711899986024946,0.00016698368669361148
PostgreSQL,10000,False,CREATE,insert_prescription_with_items,0.010750799992820248,0.011108899983810261,0.0021998524282697295
PostgreSQL,10000,False,CREATE,insert_performed_service,0.0034217333498721323,0.003386100026546046,0.00033843809307978887
PostgreSQL,10000,False,CREATE,insert_test_result,0.004141433329399054,0.004360999999335036,0.0009964964970805028
PostgreSQL,10000,False,READ,select_patient_by_id,0.0006130666588433087,0.0006299999949987978,2.4088914459146316e-05
PostgreSQL,10000,False,READ,select_visits_with_doctor,0.0011393000022508204,0.0010541999945417047,0.000177754561420464
PostgreSQL,10000,False,READ,select_visit_diagnoses,0.0009963333432096988,0.0010065000096801668,1.5306287341084922e-05
PostgreSQL,10000,False,READ,select_patient_full_history,0.0022094666686219475,0.0020038000075146556,0.00046528112734651664
PostgreSQL,10000,False,READ,select_aggregated_costs,0.0018333333428017795,0.001782100007403642,0.00025597625809130846
PostgreSQL,10000,False,READ,select_prescriptions_with_meds,0.0010521666651281218,0.001160499989055097,0.00019761188160099318
PostgreSQL,10000,False,UPDATE,update_patient_name,0.0016145666595548391,0.001519499986898154,0.00016376947745153173
PostgreSQL,10000,False,UPDATE,update_visit_status,0.0012336333262889336,0.0012598999892361462,3.82836233770663e-05
PostgreSQL,10000,False,UPDATE,update_service_price,0.001952299993718043,0.0019512999861035496,0.00023319248900363973
PostgreSQL,10000,False,UPDATE,update_diagnosis_notes,0.0016324999936235447,0.001301699987379834,0.0004904796990836533
PostgreSQL,10000,False,UPDATE,update_doctor_license,0.00218193333906432,0.0023668000067118555,0.0004222168935035762
PostgreSQL,10000,False,UPDATE,update_department_phone,0.0013802666605139773,0.0013872999988961965,2.3596090178024315e-05
PostgreSQL,10000,False,DELETE,delete_test_result,0.0030715333414264023,0.002770899998722598,0.0005295788923781942
PostgreSQL,10000,False,DELETE,delete_diagnosis,0.003047033339195574,0.002861300017684698,0.00040444604260951155
PostgreSQL,10000,False,DELETE,delete_patient,0.0033003999948656806,0.003051199979381636,0.00040624162214587665
PostgreSQL,10000,False,DELETE,delete_performed_service,0.0027532666572369635,0.0025277999811805785,0.00045085006414203655
PostgreSQL,10000,False,DELETE,delete_prescription,0.0034766666746387878,0.0029925999988336116,0.000816876563002064
PostgreSQL,10000,False,DELETE,delete_visit_cascade,0.0076477666637705015,0.007451299985405058,0.0011735556224773945
MySQL,10000,False,CREATE,insert_patient,0.008337566658155993,0.007356499991146848,0.0018116546719699456
MySQL,10000,False,CREATE,insert_visit,0.0075538666763653355,0.007927099999506027,0.0006800803141582269
MySQL,10000,False,CREATE,insert_diagnosis,0.005681999997856717,0.0057333000004291534,0.00016461061914223519
MySQL,10000,False,CREATE,insert_prescription_with_items,0.011250566662056372,0.010441999998874962,0.0017262215947677687
MySQL,10000,False,CREATE,insert_performed_service,0.025035133333100628,0.01019790000282228,0.024671561608945663
MySQL,10000,False,CREATE,insert_test_result,0.007243066667191063,0.007764800015138462,0.0008567973946759453
MySQL,10000,False,READ,select_patient_by_id,0.0013878666698777427,0.0013960000069346279,3.7915901699793444e-05
MySQL,10000,False,READ,select_visits_with_doctor,0.0016617000025386612,0.0015434000233653933,0.00022449601347238263
MySQL,10000,False,READ,select_visit_diagnoses,0.0015490999988590677,0.0015601000050082803,4.646115975403414e-05
MySQL,10000,False,READ,select_patient_full_history,0.0019620999907298633,0.001995400001760572,0.0001382524069466614
