Database,Scale,Operation_Type,Scenario_Name,Average_Time_Seconds
PostgreSQL,10000,CREATE,insert_patient,0.0026984333138292036
PostgreSQL,10000,CREATE,insert_visit,0.002981133332165579
PostgreSQL,10000,CREATE,insert_diagnosis,0.001994633348658681
PostgreSQL,10000,CREATE,insert_prescription,0.004209333332255483
PostgreSQL,10000,CREATE,insert_service,0.002055100010087093
PostgreSQL,10000,CREATE,insert_test_result,0.0019945999956689775
PostgreSQL,10000,READ,read_patient_by_id,0.00048509998790298897
PostgreSQL,10000,READ,read_visits_with_doctor,0.0008909666600326697
PostgreSQL,10000,READ,read_visit_diagnoses,0.000805800004551808
PostgreSQL,10000,READ,read_patient_full_history,0.0012887666622797649
PostgreSQL,10000,READ,read_services_with_prices,0.0007200333445022503
PostgreSQL,10000,READ,read_prescriptions_with_meds,0.0007891999945665399
PostgreSQL,10000,UPDATE,update_patient_name,0.001034866669215262
PostgreSQL,10000,UPDATE,update_visit_status,0.0009575666626915336
PostgreSQL,10000,UPDATE,update_service_price,0.0012657999953565497
PostgreSQL,10000,UPDATE,update_diagnosis_notes,0.0010246000019833446
PostgreSQL,10000,UPDATE,update_doctor_license,0.0009514666550482312
PostgreSQL,10000,UPDATE,update_department_phone,0.0010367666642802458
PostgreSQL,10000,DELETE,delete_test_result,0.0012469000066630542
PostgreSQL,10000,DELETE,delete_diagnosis,0.0012476000119931996
PostgreSQL,10000,DELETE,delete_patient,0.0016912000137381256
PostgreSQL,10000,DELETE,delete_prescription_item,0.0013715900073293598
PostgreSQL,10000,DELETE,delete_service,0.0011228400107938796
PostgreSQL,10000,DELETE,delete_visit,0.001522080012364313
PostgreSQL,10000,DELETE,delete_test_result,0.0012688999995589256
PostgreSQL,10000,DELETE,delete_diagnosis,0.0009580999612808228
PostgreSQL,10000,DELETE,delete_patient,0.0013522999943234026
PostgreSQL,10000,DELETE,delete_prescription_item,0.0013957899995148183
PostgreSQL,10000,DELETE,delete_service,0.0008622899651527405
PostgreSQL,10000,DELETE,delete_visit,0.0012170699948910624
PostgreSQL,10000,DELETE,delete_test_result,0.001207799999974668
PostgreSQL,10000,DELETE,delete_diagnosis,0.0009247999987564981
PostgreSQL,10000,DELETE,delete_patient,0.001394400023855269
PostgreSQL,10000,DELETE,delete_prescription_item,0.001328579999972135
PostgreSQL,10000,DELETE,delete_service,0.0008323199988808484
PostgreSQL,10000,DELETE,delete_visit,0.001254960021469742
MySQL,10000,CREATE,insert_patient,0.008082633352993676
MySQL,10000,CREATE,insert_visit,0.008918999985326082
MySQL,10000,CREATE,insert_diagnosis,0.01049919998816525
MySQL,10000,CREATE,insert_prescription,0.01792516668016712
MySQL,10000,CREATE,insert_service,0.01127269999900212
MySQL,10000,CREATE,insert_test_result,0.010450133316529294
MySQL,10000,READ,read_patient_by_id,0.0009003666734012464
MySQL,10000,READ,read_visits_with_doctor,0.0009414666759160658
MySQL,10000,READ,read_visit_diagnoses,0.0009041333493466178
MySQL,10000,READ,read_patient_full_history,0.0009136666776612401
MySQL,10000,READ,read_services_with_prices,0.0008539000021604201
MySQL,10000,READ,read_prescriptions_with_meds,0.0009403666675401231
MySQL,10000,UPDATE,update_patient_name,0.009185899999768784
